"Endpoint Name","Endpoint FQDN","IP","Update Status","Last Update","Antimalware","Managed","Online"
"Krishna’s MacBook Air-10bd3a69e859","num-021.local","192.168.1.11","Updated","01 June 2026, 20:10:19","Unknown","Yes","02 June 2026, 11:35:28"
"Kuntal's unbxd MacBook Pro-9c3e537a7c20","num-056.local","172.16.20.193","Updated","02 June 2026, 10:25:23","On","Yes","Online"
"LakshanaB’s MacBook Air-d0880c7f36c9","num-044.local","192.168.29.100","Updated","01 June 2026, 13:23:44","On","Yes","Online"
"Lauren’s MacBook Air-80657cc76df2","laurens-macbook-air.local","192.168.12.235","Updated","02 June 2026, 08:26:25","On","Yes","Online"
"MacBook Air-c0c7dbd87cca","nm407.local","192.168.115.26","Unknown","22 May 2026, 19:07:44","Unknown","Yes","22 May 2026, 20:29:44"
"MacBook Pro (2)-3c063053bab1","num-006.local","192.168.1.3","Updated","01 June 2026, 16:11:05","Unknown","Yes","02 June 2026, 12:02:28"
"MacBook Pro (2)-ac0775080233","macbook-pro-2.local","192.168.1.24","Updated","02 June 2026, 10:09:59","On","Yes","Online"
"Macbook Air - Ricky-fcb2146eab20","macbook-air---ricky.local","192.168.1.21","Updated","02 June 2026, 10:06:46","On","Yes","Online"
"Mayank's Mac-fcb21472f662","mayanks-mac.local","192.168.0.128","Updated","02 June 2026, 12:32:41","On","Yes","Online"
"Mohit Macbook-9c3e537bee90","num-108.local","192.168.0.106","Updated","02 June 2026, 10:08:49","On","Yes","Online"
"NCTH-0001-c4474ed794cf","ncth-0001.netcore.co.in","192.168.113.131","Updated","02 June 2026, 11:02:52","On","Yes","Online"
"NDW04112","ndw04112","192.168.4.112","Unknown","31 December 2025, 15:35:13","Unknown","Yes","31 December 2025, 19:30:52"
"NDW0907-14b31f0fe056","ndw0907.netcore.co.in","192.168.9.7","Updated","02 June 2026, 10:02:03","On","Yes","Online"
"NDW4146-408d5c6ea5d9","ndw4146","192.168.41.46","Unknown","24 May 2026, 10:19:45","Unknown","Yes","24 May 2026, 11:53:09"
"NL1008-ac82472fcf9c","nl1008.netcore.co.in","192.168.17.11","Unknown","14 April 2026, 12:00:49","Unknown","Yes","25 April 2026, 13:49:33"
"NL1012-e02be935f36d","nl1012.netcore.co.in","192.168.12.20","Unknown","17 February 2026, 10:16:17","Unknown","Yes","17 February 2026, 10:39:08"
"NL1017-502f9b7ce084","nl1017","192.168.137.147","Unknown","25 May 2026, 11:00:41","Unknown","Yes","26 May 2026, 10:25:33"
"NL1017-f09e4ae24bf9","nl1017","192.168.110.176","Updated","02 June 2026, 12:47:51","On","Yes","Online"
"NL1048-0456e55b68af","nl1048.netcore.co.in","192.168.1.8","Updated","02 June 2026, 08:23:21","Unknown","Yes","02 June 2026, 11:41:28"
"NL1050-44af2897a347","nl1050.netcore.co.in","192.168.108.238","Unknown","16 March 2026, 14:51:56","Unknown","Yes","17 March 2026, 20:27:14"
"NL1065-f09e4ae286f0","nl1065","192.168.113.204","Unknown","28 May 2026, 10:58:11","Unknown","Yes","28 May 2026, 13:01:08"
"NL1115-f09e4ae261d9","nl1115.netcore.co.in","192.168.17.74","Updated","02 June 2026, 10:08:25","On","Yes","Online"
"NL1133-900f0c1a20f9","nl1133.netcore.co.in","192.168.0.145","Updated","02 June 2026, 03:26:40","Unknown","Yes","02 June 2026, 05:33:22"
"NL1145-900f0c1a79c7","nl1145","192.168.116.12","Updated","02 June 2026, 10:11:46","On","Yes","Online"
"NL1148-900f0c19a5e7","nl1148.netcore.co.in","192.168.24.2","Updated","02 June 2026, 10:50:37","On","Yes","Online"
"NL1187-900f0c19a5f7","nl1187.netcore.co.in","192.168.112.152","Updated","02 June 2026, 10:26:16","On","Yes","Online"
"NL1196-cc6b1e595d27","nl1196","192.168.116.69","Updated","02 June 2026, 10:59:18","On","Yes","Online"
"NL1197-900f0ce6bc0b","nl1197","192.168.116.29","Updated","02 June 2026, 11:47:09","On","Yes","Online"
"NL1211-900f0ce6bc49","nl1211.netcore.co.in","192.168.17.36","Unknown","17 March 2026, 10:48:36","Unknown","Yes","17 March 2026, 12:11:09"
"NL1215-f889d2635455","nl1215","192.168.1.6","Updated","02 June 2026, 11:58:05","On","Yes","Online"
"NL1248","nl1248.netcore.co.in","192.168.112.212","Unknown","26 December 2025, 16:29:12","Unknown","Yes","27 December 2025, 18:40:42"
"NL1248-cc15312fec70","nl1248.netcore.co.in","192.168.113.194","Unknown","29 May 2026, 18:25:42","Unknown","Yes","29 May 2026, 19:12:33"
"NL1269-cc153134da5f","nl1269.netcore.co.in","192.168.0.101","Updated","01 June 2026, 18:57:55","Unknown","Yes","01 June 2026, 19:57:14"
"NL1274-cc153134e18f","nl1274.netcore.co.in","192.168.19.67","Updated","02 June 2026, 10:33:21","On","Yes","Online"
"NL1277-60dd8eb61836","nl1277.netcore.co.in","192.168.110.118","Updated","02 June 2026, 10:03:22","On","Yes","Online"
"NL1281-60dd8eb4cd73","nl1281.netcore.co.in","192.168.113.171","Updated","02 June 2026, 11:35:51","On","Yes","Online"
"NL1288-f4463744e2ab","nl1288.netcore.co.in","192.168.19.58","Updated","02 June 2026, 11:25:44","On","Yes","Online"
"NL1305-70cd0d9be1e1","nl1305.netcore.co.in","192.168.17.33","Updated","02 June 2026, 10:38:15","On","Yes","Online"
"NL1306-7c70db4b4353","nl1306.netcore.co.in","192.168.29.240","Updated","02 June 2026, 10:24:28","On","Yes","Online"
"NL1310-7c70db3248da","nl1310.netcore.co.in","192.168.65.19","Updated","02 June 2026, 11:27:50","On","Yes","Online"
"NL1323-8cb87e1948ee","nl1323","192.168.1.107","Unknown","26 May 2026, 11:33:45","Unknown","Yes","26 May 2026, 18:37:36"
"NL1326-60e32be16955","nl1326","10.152.118.13","Unknown","27 May 2026, 10:16:11","Unknown","Yes","27 May 2026, 14:11:54"
"NL1333-8cb87e194a88","nl1333.netcore.co.in","192.168.17.89","Updated","02 June 2026, 10:18:26","On","Yes","Online"
"NL1334-7c70db415f5a","nl1334","192.168.1.22","Updated","02 June 2026, 12:07:10","On","Yes","Online"
"NL1344-f446375288f7","nl1344.netcore.co.in","192.168.0.101","Updated","02 June 2026, 11:03:27","On","Yes","Online"
"NL1350-f4463751e983","nl1350","2409:40d0:2008:a788:450c:182c:54fb:734a","Updated","02 June 2026, 11:42:11","On","Yes","Online"
"NL1355-f4463744b29f","nl1355.netcore.co.in","192.168.116.114","Updated","02 June 2026, 10:34:55","On","Yes","Online"
"NL1357-94e70bc5d537","nl1357.netcore.co.in","192.168.113.244","Updated","01 June 2026, 15:31:31","Unknown","Yes","01 June 2026, 18:50:13"
"NL1363-f44637440728","nl1363","10.101.5.113","Updated","02 June 2026, 11:29:36","On","Yes","Online"
"NL1364-cc1531d3bd28","nl1364.netcore.co.in","192.168.112.119","Updated","02 June 2026, 10:55:45","On","Yes","Online"
"NL1367-cc1531ff1bb2","nl1367.netcore.co.in","192.168.116.108","Updated","02 June 2026, 09:57:50","On","Yes","Online"
"NL1371-cc1531ff39b2","nl1371.netcore.co.in","192.168.110.229","Unknown","27 May 2026, 10:59:30","Unknown","Yes","27 May 2026, 12:53:54"
"NL1372-f4463744e2e2","nl1372.netcore.co.in","192.168.112.78","Updated","02 June 2026, 11:00:03","On","Yes","Online"
"NL1383-8cb87e1867f8","nl1383.netcore.co.in","192.168.116.62","Updated","02 June 2026, 11:30:54","On","Yes","Online"
"NL1390-c475abb901d1","nl1390.netcore.co.in","192.168.113.155","Unknown","13 May 2026, 16:53:53","Unknown","Yes","23 May 2026, 11:59:55"
"NL1391-cc1531fbad51","nl1391","172.20.10.5","Unknown","01 June 2026, 12:55:45","Unknown","Yes","01 June 2026, 16:28:11"
"NL1395-2c6dc106993d","nl1395.netcore.co.in","192.168.112.102","Updated","02 June 2026, 07:23:09","Unknown","Yes","02 June 2026, 07:48:24"
"NL1403-cc1531cfa756","nl1403","172.16.20.112","Unknown","05 May 2026, 19:49:11","Unknown","Yes","06 May 2026, 09:38:28"
"NL1416-703217c9d96b","nl1416.netcore.co.in","192.168.112.77","Updated","01 June 2026, 18:28:00","Unknown","Yes","01 June 2026, 20:18:14"
"NL1417","nl1417","192.168.0.102","Unknown","16 January 2026, 16:11:47","Unknown","Yes","16 January 2026, 17:54:31"
"NL1426-703217c835f7","nl1426.netcore.co.in","192.168.24.129","Updated","02 June 2026, 12:01:10","On","Yes","Online"
"NL1435-703217c841f0","nl1435.netcore.co.in","192.168.0.106","Updated","02 June 2026, 10:18:50","Unknown","Yes","02 June 2026, 12:52:29"
"NL1437-c8cb9e4fb730","nl1437.netcore.co.in","192.168.0.105","Unknown","22 May 2026, 14:56:53","Unknown","Yes","22 May 2026, 17:08:42"
"NL1438-c8cb9e4f2149","nl1438","192.168.31.131","Updated","01 June 2026, 16:02:44","Unknown","Yes","01 June 2026, 19:14:13"
"NL1443-78af086df52e","nl1443.netcore.co.in","192.168.46.119","Unknown","21 May 2026, 16:36:12","Unknown","Yes","21 May 2026, 18:36:23"
"NL1446-c475ab7eae05","nl1446","192.168.1.55","Updated","02 June 2026, 11:03:41","On","Yes","Online"
"NL1449-c475ab7eb57b","nl1449","172.16.20.124","Unknown","16 April 2026, 16:26:06","Unknown","Yes","16 April 2026, 18:23:06"
"NL1455-546cebb4495c","nl1455.netcore.co.in","192.168.112.122","Updated","02 June 2026, 10:47:30","On","Yes","Online"
"NL1456-7cb56627396d","nl1456.netcore.co.in","192.168.112.129","Updated","02 June 2026, 12:55:51","On","Yes","Online"
"NL1458-cc1531cb42dd","nl1458.netcore.co.in","192.168.112.25","Updated","02 June 2026, 10:06:33","On","Yes","Online"
"NL1459","nl1459","192.168.112.149","Unknown","07 February 2026, 10:54:20","Unknown","Yes","07 February 2026, 11:38:41"
"NL1459-c4bde5def8d7","nl1459.netcore.co.in","192.168.1.10","Updated","02 June 2026, 02:48:26","Unknown","Yes","02 June 2026, 05:13:22"
"NL1460-546cebb4496b","nl1460.netcore.co.in","192.168.112.135","Updated","02 June 2026, 11:04:03","On","Yes","Online"
"NL1466-f0a654ad2945","nl1466.netcore.co.in","192.168.31.62","Unknown","30 May 2026, 14:08:36","Unknown","Yes","30 May 2026, 14:46:49"
"NL1468","nl1468.netcore.co.in","2402:3a80:4280:971d:c8b2:1d78:7cf3:7f71","Unknown","14 January 2026, 16:02:25","Unknown","Yes","14 January 2026, 17:04:36"
"NL1469-f0a654ad2943","nl1469","192.168.112.150","Updated","02 June 2026, 12:02:08","On","Yes","Online"
"NL1475-c475abba700c","nl1475","172.16.20.74","Unknown","04 May 2026, 10:26:51","Unknown","Yes","04 May 2026, 11:09:26"
"NL1477-749779ad1ec1","nl1477.netcore.co.in","192.168.116.31","Updated","02 June 2026, 10:40:55","On","Yes","Online"
"NL1480-749779ad226d","nl1480.netcore.co.in","192.168.29.46","Unknown","27 May 2026, 15:28:31","Unknown","Yes","27 May 2026, 19:47:57"
"NL1482-749779ad2241","nl1482","192.168.0.3","Updated","02 June 2026, 09:58:57","On","Yes","Online"
"NL1487-687a64184cc8","nl1487.netcore.co.in","192.168.19.37","Updated","02 June 2026, 10:28:01","On","Yes","Online"
"NL1490-687a64184881","nl1490.netcore.co.in","192.168.112.212","Updated","02 June 2026, 10:30:34","On","Yes","Online"
"NL1491-687a64184877","nl1491.netcore.co.in","192.168.112.195","Updated","02 June 2026, 10:12:16","On","Yes","Online"
"NL1494-300505511c2e","nl1494","10.10.30.227","Updated","02 June 2026, 09:58:50","On","Yes","Online"
"NL1495-f4463750cfa8","nl1495.netcore.co.in","192.168.110.201","Updated","02 June 2026, 09:53:10","On","Yes","Online"
"NL1497-687a64677f5a","nl1497.netcore.co.in","192.168.65.37","Updated","02 June 2026, 10:37:33","On","Yes","Online"
"NL1498-687a646787f2","nl1498.netcore.co.in","192.168.65.38","Unknown","17 April 2026, 15:25:34","Unknown","Yes","22 April 2026, 17:05:07"
"NL1502-30050552508a","nl1502","172.16.20.33","Updated","02 June 2026, 10:47:54","On","Yes","Online"
"NL1503-3005055014f0","nl1503.netcore.co.in","192.168.112.187","Updated","02 June 2026, 10:16:56","On","Yes","Online"
"NL1504-30050550e4ed","nl1504.netcore.co.in","192.168.112.185","Updated","02 June 2026, 10:33:54","On","Yes","Online"
"NL1505-30f6efc134b4","nl1505.netcore.co.in","192.168.17.46","Updated","02 June 2026, 10:42:06","On","Yes","Online"
"NL1506-e46017ddd60f","nl1506.netcore.co.in","192.168.12.6","Updated","02 June 2026, 10:18:10","On","Yes","Online"
"NL1513-687a64d4bcf0","nl1513.netcore.co.in","192.168.112.228","Updated","02 June 2026, 10:10:58","On","Yes","Online"
"NL1514-04e8b992196d","nl1514.netcore.co.in","192.168.112.222","Updated","02 June 2026, 10:00:44","On","Yes","Online"
"NL1515-04e8b9926fcb","nl1515.netcore.co.in","192.168.1.8","Updated","01 June 2026, 16:31:55","Unknown","Yes","01 June 2026, 18:15:15"
"NL1516-3005054d7574","nl1516.netcore.co.in","192.168.112.230","Updated","02 June 2026, 11:23:46","On","Yes","Online"
"NL1517-94e70bc5d9a1","nl1517.netcore.co.in","192.168.112.205","Updated","02 June 2026, 12:08:56","On","Yes","Online"
"NL1520-60452e7d4123","nl1520.netcore.co.in","192.168.112.211","Updated","02 June 2026, 10:20:57","On","Yes","Online"
"NL1521-60452e7d41a0","nl1521.netcore.co.in","192.168.46.135","Updated","02 June 2026, 12:39:44","On","Yes","Online"
"NL1522-60452e7d4105","nl1522","192.168.0.47","Updated","01 June 2026, 19:04:58","Unknown","Yes","02 June 2026, 01:58:19"
"NL1525-60452e7cf1eb","nl1525.netcore.co.in","192.168.112.217","Updated","02 June 2026, 10:41:00","On","Yes","Online"
"NL1530-c88a9afbcea3","nl1530.netcore.co.in","192.168.112.224","Updated","02 June 2026, 10:52:08","On","Yes","Online"
"NL1532-60452e7d41a5","nl1532.netcore.co.in","192.168.112.227","Updated","02 June 2026, 11:21:39","On","Yes","Online"
"NL1533-c858c080380b","nl1533.netcore.co.in","192.168.116.10","Unknown","08 May 2026, 16:39:08","Unknown","Yes","12 May 2026, 17:56:48"
"NL1536-60452e7e444c","nl1536","2409:408d:4e09:6505:99ba:1acd:837f:30e1","Unknown","29 May 2026, 16:16:50","Unknown","Yes","29 May 2026, 18:29:32"
"NL1539-300505511d9b","nl1539.netcore.co.in","192.168.112.235","Updated","02 June 2026, 10:02:01","On","Yes","Online"
"NL1545-30f6efc5a4e0","nl1545.netcore.co.in","192.168.116.28","Updated","02 June 2026, 12:40:25","On","Yes","Online"
"NL1546-30f6efc6bcf9","nl1546","192.168.112.249","Updated","01 June 2026, 21:42:55","Unknown","Yes","01 June 2026, 23:36:17"
"NL1547-30f6efca535a","nl1547","10.14.102.140","Updated","02 June 2026, 04:58:38","Unknown","Yes","02 June 2026, 05:55:23"
"NL1548-30f6efca5328","nl1548.netcore.co.in","192.168.112.251","Unknown","27 May 2026, 18:10:51","Unknown","Yes","27 May 2026, 18:32:56"
"NL1549-30f6efcaba3e","nl1549.netcore.co.in","192.168.112.252","Updated","02 June 2026, 10:08:24","On","Yes","Online"
"NL1555-f020fff0e2f4","nl1555","10.158.16.213","Unknown","16 May 2026, 13:34:55","Unknown","Yes","16 May 2026, 15:16:53"
"NL1557-f020ffc1d5b8","nl1557.netcore.co.in","192.168.29.102","Updated","02 June 2026, 12:18:37","On","Yes","Online"
"NL1558-f020ffef4df4","nl1558.netcore.co.in","192.168.113.20","Updated","02 June 2026, 10:25:40","On","Yes","Online"
"NL1559-f020ffc52010","nl1559.netcore.co.in","192.168.113.19","Updated","01 June 2026, 18:28:29","Unknown","Yes","01 June 2026, 19:59:14"
"NL1561-f020ffc1df9f","nl1561","172.16.20.235","Updated","02 June 2026, 10:18:00","On","Yes","Online"
"NL1564-f020fff97293","nl1564.netcore.co.in","192.168.116.16","Updated","02 June 2026, 09:58:52","On","Yes","Online"
"NL1565-a0b339a4e52f","nl1565","192.168.1.7","Updated","02 June 2026, 11:17:00","Unknown","Yes","02 June 2026, 12:53:29"
"NL1568-a0b339a35bfb","nl1568.netcore.co.in","192.168.113.28","Updated","01 June 2026, 18:47:03","Unknown","Yes","01 June 2026, 19:14:13"
"NL1570-a0b339a4e9ad","nl1570.netcore.co.in","192.168.113.32","Updated","01 June 2026, 18:26:38","Unknown","Yes","01 June 2026, 18:58:13"
"NL1572-08eb21606b0c","nl1572.netcore.co.in","192.168.112.133","Updated","02 June 2026, 11:52:15","On","Yes","Online"
"NL1573-a0b339ae5a1f","nl1573.netcore.co.in","192.168.24.99","Updated","02 June 2026, 09:58:27","On","Yes","Online"
"NL1578-5cb26d0133c1","nl1578.netcore.co.in","192.168.113.37","Updated","02 June 2026, 11:29:19","On","Yes","Online"
"NL1579-5cb26d007db4","nl1579.netcore.co.in","192.168.113.38","Unknown","01 June 2026, 11:38:33","Unknown","Yes","01 June 2026, 14:29:10"
"NL1580-5cb26d003ff7","nl1580.netcore.co.in","192.168.46.157","Updated","02 June 2026, 10:35:02","On","Yes","Online"
"NL1581-5cb26d01cdae","nl1581.netcore.co.in","192.168.113.46","Updated","02 June 2026, 10:07:49","On","Yes","Online"
"NL1583-586d67ed824e","nl1583","172.31.0.113","Updated","02 June 2026, 11:34:39","On","Yes","Online"
"NL1589-f020ffb6f99f","nl1589","192.168.1.7","Unknown","22 April 2026, 22:12:34","Unknown","Yes","22 April 2026, 22:52:10"
"NL1590-8ce9ee78b068","nl1590.netcore.co.in","192.168.113.69","Updated","02 June 2026, 10:04:44","On","Yes","Online"
"NL1592-8ce9ee763cd4","nl1592.netcore.co.in","192.168.113.71","Updated","02 June 2026, 10:44:39","On","Yes","Online"
"NL1593-a0b339b24724","nl1593","10.101.5.97","Unknown","15 May 2026, 14:22:19","Unknown","Yes","15 May 2026, 18:30:39"
"NL1595-8ce9ee72b703","nl1595.netcore.co.in","192.168.113.75","Updated","02 June 2026, 02:51:36","Unknown","Yes","02 June 2026, 08:05:24"
"NL1597-8ce9ee778b98","nl1597","192.168.1.34","Updated","02 June 2026, 11:31:20","On","Yes","Online"
"NL1598-8ce9ee7780da","nl1598","192.168.113.81","Updated","02 June 2026, 11:08:37","On","Yes","Online"
"NL1599","nl1599","192.168.0.104","Unknown","22 January 2026, 12:42:17","Unknown","Yes","27 January 2026, 13:27:50"
"NL1601-8ce9ee750bc0","nl1601.netcore.co.in","192.168.113.83","Updated","02 June 2026, 12:29:43","On","Yes","Online"
"NL1602-8ce9ee34b430","nl1602.netcore.co.in","192.168.1.15","Unknown","21 May 2026, 21:17:00","Unknown","Yes","22 May 2026, 01:59:30"
"NL1603-8ce9ee74d35d","nl1603.netcore.co.in","192.168.0.105","Updated","01 June 2026, 19:35:45","Unknown","Yes","01 June 2026, 20:11:14"
"NL1604-8ce9ee451424","nl1604","172.16.20.163","Updated","02 June 2026, 10:59:26","On","Yes","Online"
"NL1605-8ce9ee77b11d","nl1605","10.113.205.168","Unknown","29 May 2026, 16:33:49","Unknown","Yes","29 May 2026, 17:31:32"
"NL1607-8ce9ee74aa7c","nl1607.netcore.co.in","192.168.7.7","Updated","01 June 2026, 21:42:12","Unknown","Yes","01 June 2026, 23:14:17"
"NL1608-8ce9ee725c3b","nl1608.netcore.co.in","192.168.113.101","Updated","02 June 2026, 10:40:25","On","Yes","Online"
"NL1609-546cebb44a92","nl1609","192.168.112.149","Unmanaged","N/A","Unmanaged","No","Unmanaged"
"NL1610","nl1610.netcore.co.in","192.168.113.91","Unknown","30 December 2025, 14:58:08","Unknown","Yes","30 December 2025, 16:57:35"
"NL1612-8ce9ee45497b","nl1612.netcore.co.in","192.168.113.93","Updated","02 June 2026, 10:13:13","On","Yes","Online"
"NL1620-8ce9ee73d1b5","nl1620.netcore.co.in","192.168.113.106","Updated","02 June 2026, 11:42:22","On","Yes","Online"
"NL1621-8ce9ee45578b","nl1621.netcore.co.in","192.168.113.108","Updated","02 June 2026, 09:58:09","On","Yes","Online"
"NL1622-8ce9ee781856","nl1622.netcore.co.in","2409:40c2:241b:2306:f106:239b:f21a:669b","Unknown","01 June 2026, 12:51:46","Unknown","Yes","01 June 2026, 13:37:10"
"NL1623-28a06bce6f2b","nl1623.netcore.co.in","192.168.29.102","Updated","02 June 2026, 10:16:41","On","Yes","Online"
"NL1624-28a06bce6f21","nl1624","192.168.29.194","Unknown","30 May 2026, 01:07:36","Unknown","Yes","30 May 2026, 04:17:40"
"NL1625-8ce9ee4549d0","nl1625","10.10.30.40","Unknown","29 May 2026, 18:03:42","Unknown","Yes","29 May 2026, 19:50:33"
"NL1626","nl1626","10.36.64.95","Unknown","19 December 2025, 14:33:13","Unknown","Yes","19 December 2025, 18:05:38"
"NL1627-8ce9ee71525a","nl1627.netcore.co.in","192.168.5.39","Updated","02 June 2026, 12:18:13","On","Yes","Online"
"NL1628-8ce9ee439b9e","nl1628","192.168.31.104","Updated","02 June 2026, 10:18:31","On","Yes","Online"
"NL1629-8ce9ee7151fb","nl1629","172.16.100.158","Updated","02 June 2026, 12:10:41","On","Yes","Online"
"NL1631-5cb26d6597df","nl1631.netcore.co.in","192.168.113.111","Updated","02 June 2026, 10:06:41","On","Yes","Online"
"NL1638-ec4c8cf79d6f","nl1638","192.168.0.138","Updated","02 June 2026, 11:59:16","On","Yes","Online"
"NL1639-4cb04a967cf1","nl1639.netcore.co.in","192.168.113.115","Updated","02 June 2026, 10:16:56","On","Yes","Online"
"NL1640-c4474e4ac1f8","nl1640.netcore.co.in","192.168.24.61","Updated","02 June 2026, 11:38:02","On","Yes","Online"
"NL1641-c4474e4ac1c6","nl1641.netcore.co.in","192.168.17.79","Updated","02 June 2026, 10:03:05","On","Yes","Online"
"NL1642-c4474e4ef566","nl1642.netcore.co.in","192.168.17.86","Updated","02 June 2026, 11:39:46","On","Yes","Online"
"NL1643-e41fd55e36a2","nl1643.netcore.co.in","192.168.17.91","Updated","02 June 2026, 11:09:39","On","Yes","Online"
"NL1644-e41fd547b5a8","nl1644.netcore.co.in","192.168.17.90","Updated","02 June 2026, 10:27:00","On","Yes","Online"
"NL1645-c4474e4ac1c1","nl1645.netcore.co.in","192.168.113.119","Updated","02 June 2026, 10:53:01","On","Yes","Online"
"NL1646-c4474e67adbd","nl1646.netcore.co.in","192.168.113.120","Updated","02 June 2026, 11:27:01","On","Yes","Online"
"NL1647-5cb26d659749","nl1647.netcore.co.in","192.168.113.121","Updated","02 June 2026, 10:28:42","On","Yes","Online"
"NL1649-c4474ed794c5","nl1649.netcore.co.in","192.168.113.125","Updated","02 June 2026, 10:44:00","On","Yes","Online"
"NL1650-c4474e4ac3c9","nl1650","10.10.30.103","Updated","02 June 2026, 10:57:52","On","Yes","Online"
"NL1651-c4474e4ac5d6","nl1651","172.16.20.30","Unknown","20 April 2026, 15:45:26","Unknown","Yes","27 May 2026, 15:26:55"
"NL1652-c4474e37ec22","nl1652","192.168.1.4","Updated","02 June 2026, 10:35:58","On","Yes","Online"
"NL1653-a8595fadf462","nl1653.netcore.co.in","192.168.3.28","Updated","02 June 2026, 11:59:31","On","Yes","Online"
"NL1654-a8595fae111d","nl1654.netcore.co.in","192.168.116.81","Updated","02 June 2026, 10:54:52","On","Yes","Online"
"NL1655-c4474e4ac1e4","nl1655.netcore.co.in","192.168.113.126","Updated","02 June 2026, 10:32:42","On","Yes","Online"
"NL1656-a8595fb0c4df","nl1656.netcore.co.in","192.168.113.128","Updated","02 June 2026, 11:10:58","On","Yes","Online"
"NL1657-c4474e4ef5c0","nl1657.netcore.co.in","192.168.113.138","Updated","02 June 2026, 10:01:47","On","Yes","Online"
"NL1658-a8595fae027c","nl1658","192.168.29.129","Updated","02 June 2026, 03:24:58","Unknown","Yes","02 June 2026, 09:24:26"
"NL1659-a8595fb0cdef","nl1659","172.31.0.108","Updated","02 June 2026, 11:43:30","On","Yes","Online"
"NL1663-a8595fae0286","nl1663","172.16.20.241","Updated","02 June 2026, 11:32:36","On","Yes","Online"
"NL1664-c4474e6af3dd","nl1664","192.168.1.34","Updated","02 June 2026, 11:38:02","On","Yes","Online"
